"Interior Designer,""192"",""Interior Designer"",""-180.25"",""2503589"""
"Taxi Ride,""192"",""Taxi Ride"",""-86.05067"",""2503769"""
"Taxi Ride,""192"",""Taxi Ride"",""-65.19942"",""2503855"""
"Silver Health Insurance (Joseph Halliday) - 10 Employees,""191"",""Health Insurance"",""-128.3533"",""2503920"""
"Gold Health Insurance (Thomas Giron) - 10 Employees,""191"",""Health Insurance"",""-182.0647"",""2504048"""
"Bronze Health Insurance (Marisol Hagen) - 16 Employees,""191"",""Health Insurance"",""-128"",""2504230"""
"Marisol Hagen training costs,""191"",""HR Training"",""-147.2861"",""2504358"""
"Theresa Mann training costs,""191"",""HR Training"",""-14.9929"",""2504506"""
"Randy Haugen training costs,""191"",""HR Training"",""-18.57314"",""2504521"""
"Marketing campaigns for G&J,""191"",""Marketing"",""-2500"",""2504539"""
"Marketing campaigns for Tech & Gift,""191"",""Marketing"",""-9500"",""2507039"""
"Marketing campaigns for Gift Dreams,""191"",""Marketing"",""-2500"",""2516539"""
"Marketing campaigns for L&G,""191"",""Marketing"",""-6500"",""2519039"""
"Marketing campaigns for Rest $ Foods,""191"",""Marketing"",""-2500"",""2525539"""
"Vantander Bank Loan Payment,""191"",""Loan Payment"",""-1520"",""2528039"""
"Vantander Bank Loan Payment,""191"",""Loan Payment"",""-1900"",""2529559"""
"53 4th Avenue Rent,""191"",""Rent"",""-110"",""2531459"""
"G&J Revenue,""191"",""Revenue"",""71935.2"",""2531569"""
"4 5th Avenue Rent,""191"",""Rent"",""-80"",""2459634"""
"Tech & Gift Revenue,""191"",""Revenue"",""127862"",""2459714"""
"14 6th Street Rent,""191"",""Rent"",""-422"",""2331852"""
"59 3rd Street Rent,""191"",""Rent"",""-76"",""2332274"""
"Gift Dreams Revenue,""191"",""Revenue"",""14406"",""2332350"""
"70 1st Street Rent,""191"",""Rent"",""-72"",""2317944"""
"46 4th Street Rent,""191"",""Rent"",""-531"",""2318016"""
"L&G Revenue,""191"",""Revenue"",""48000"",""2318547"""
"35 4th Avenue Rent,""191"",""Rent"",""-478"",""2270547"""
"13 Broadway Rent,""191"",""Rent"",""-1455"",""2271025"""
"Tech & Gifts Revenue,""191"",""Revenue"",""79435"",""2272480"""
"10 6th Street Rent,""191"",""Rent"",""-1266"",""2193045"""
"Rest $ Foods Revenue,""191"",""Revenue"",""5546.5"",""2194311"""
"38 5th Avenue Rent,""191"",""Rent"",""-67"",""2188764"""
"Kelly Pederson (Tech & Gifts Daily Wage),""191"",""Wage"",""-102.575"",""2188831"""
"Donald Simon (Tech & Gifts Daily Wage),""191"",""Wage"",""-140.8604"",""2188934"""
"Verna Jessup (Tech & Gifts Daily Wage),""191"",""Wage"",""-139.7227"",""2189075"""
"Megan Veney (Tech & Gifts Daily Wage),""191"",""Wage"",""-147.1114"",""2189214"""
"Ann Focht (Tech & Gifts Daily Wage),""191"",""Wage"",""-89.76352"",""2189361"""
"Betty Williams (Tech & Gifts Daily Wage),""191"",""Wage"",""-185.8789"",""2189451"""
"Gerald Brown (Tech & Gifts Daily Wage),""191"",""Wage"",""-190.5863"",""2189637"""
"Steve Brooks (Tech & Gifts Daily Wage),""191"",""Wage"",""-144.708"",""2189828"""
"Timothy Sigler (Tech & Gifts Daily Wage),""191"",""Wage"",""-137.647"",""2189972"""
"Jimmy Hendrickson (Tech & Gifts Daily Wage),""191"",""Wage"",""-138.5482"",""2190110"""
"Sean Smith (Tech & Gifts Daily Wage),""191"",""Wage"",""-229.4116"",""2190249"""
"Thomas Blane (Tech & Gifts Daily Wage),""191"",""Wage"",""-138.5482"",""2190478"""
"Donald Chrisman (Tech & Gifts Daily Wage),""191"",""Wage"",""-88.23342"",""2190617"""
"Danielle Moore (Tech & Gifts Daily Wage),""191"",""Wage"",""-232.3487"",""2190705"""
"Robert West (Tech & Gifts Daily Wage),""191"",""Wage"",""-226.1062"",""2190937"""
"John Irwin (Tech & Gifts Daily Wage),""191"",""Wage"",""-192.944"",""2191163"""
"Paul Dixon (HQ Ray Daily Wage),""191"",""Wage"",""-341.9167"",""2191356"""
"Cole Van (L&G Daily Wage),""191"",""Wage"",""-62.20994"",""2191698"""
"James Lynch (HQ Ray Daily Wage),""191"",""Wage"",""-343.3367"",""2191760"""
"Patricia Koch (Logistic&Ray Daily Wage),""191"",""Wage"",""-161.2868"",""2192104"""
"Gerald Torres (Logistic&Ray Daily Wage),""191"",""Wage"",""-161.2868"",""2192265"""
"Joseph Halliday (HQ Ray Daily Wage),""191"",""Wage"",""-348.523"",""2192426"""
"Thomas Giron (HQ Ray Daily Wage),""191"",""Wage"",""-359.559"",""2192775"""
"Marisol Hagen (HQ Ray Daily Wage),""191"",""Wage"",""-339.7172"",""2193134"""
"Theresa Mann (HQ Ray Daily Wage),""191"",""Wage"",""-352.9337"",""2193474"""
"Randy Haugen (HQ Ray Daily Wage),""191"",""Wage"",""-350.7277"",""2193827"""
"Rick Nowak (L&G Daily Wage),""191"",""Wage"",""-707.3986"",""2194178"""
"Robert Willis (L&G Daily Wage),""191"",""Wage"",""-703.2378"",""2194885"""
"Charles Stein (L&G Daily Wage),""191"",""Wage"",""-707.3986"",""2195588"""
"Adriana Mercedes (L&G Daily Wage),""191"",""Wage"",""-711.5614"",""2196296"""
"Don Rogers (L&G Daily Wage),""191"",""Wage"",""-703.2378"",""2197007"""
"Robert Quinlan (L&G Daily Wage),""191"",""Wage"",""-699.0792"",""2197711"""
"Janet Gonzalez (L&G Daily Wage),""191"",""Wage"",""-696.8844"",""2198410"""
"David Wilson (L&G Daily Wage),""191"",""Wage"",""-690.7683"",""2199107"""
"Preston Gordon (L&G Daily Wage),""191"",""Wage"",""-701.7625"",""2199797"""
"Lisa Turner (L&G Daily Wage),""191"",""Wage"",""-703.2378"",""2200499"""
"Janet Dodd (L&G Daily Wage),""191"",""Wage"",""-690.7683"",""2201202"""
"Leann Gonzalez (L&G Daily Wage),""191"",""Wage"",""-460.5122"",""2201893"""
"Latoya Thomas (L&G Daily Wage),""191"",""Wage"",""-233.0264"",""2202354"""
"Leo Simmons (L&G Daily Wage),""191"",""Wage"",""-701.8213"",""2202587"""
"Jose Kimble (L&G Daily Wage),""191"",""Wage"",""-690.7683"",""2203288"""
"Sharon Snyder (L&G Daily Wage),""191"",""Wage"",""-460.5122"",""2203979"""
"Monica Durbin (L&G Daily Wage),""191"",""Wage"",""-694.9227"",""2204440"""
"John Vanwinkle (L&G Daily Wage),""191"",""Wage"",""-316.2495"",""2205135"""
"Louise Smith (L&G Daily Wage),""191"",""Wage"",""-690.7683"",""2205451"""
"Gary Rhodes (L&G Daily Wage),""191"",""Wage"",""-699.0792"",""2206142"""
"Robert Cunningham (HQ Ray Daily Wage),""191"",""Wage"",""-60.27517"",""2206841"""
"John Lewis (HQ Ray Daily Wage),""191"",""Wage"",""-374.2989"",""2206901"""
"Alvin Munoz (Tech & Gift Daily Wage),""191"",""Wage"",""-112.7791"",""2207275"""
"Edward Davis (Tech & Gift Daily Wage),""191"",""Wage"",""-93.76504"",""2207388"""
"Peggy Freese (Tech & Gift Daily Wage),""191"",""Wage"",""-147.3639"",""2207482"""
