business_type,product,appliance,customer_capacity
Gym,Boxing,Boxing Bag,2
Gym,Sit-ups,Fitball,2
Gym,Jump,Fitness Trampoline,2
Gym,Sit-ups,Gym Mat,2
Gym,Kettlebell Pull,Kettlebells,2
Gym,Deadlift,Loaded Barbell,2
Gym,Pull-ups,Pull-Up Bar,2
Gym,Squats,Squats Station,2
Gym,Run,Treadmill,2
Gym,Bench Press,Workout Bench,2
Fast Food Restaurant,Burger,Industrial Grill,20
Fast Food Restaurant,French Fries,Industrial Fryer Machine,30
Fast Food Restaurant,Hotdog,Hotdog Grill,30
Fast Food Restaurant,Pizza,Pizza Oven,20
Fast Food Restaurant,Salad,Salad Bar,20
Fast Food Restaurant,Soda Can,Drinks Fridge,15
Fast Food Restaurant,Ice Cream,Ice Cream Counter,30
Fast Food Restaurant,Chicken Kabob Skewer,Industrial Grill,20
Fast Food Restaurant,Apple Banana (Secondary),Wooden Product Crate,15
Coffee Shop,Cup of Coffee,Industrial Coffee Machine,30
Coffee Shop,Croissant Cupcake Donut,Bakery Showcase,20
Coffee Shop,Ice Cream,Ice Cream Counter,30
Coffee Shop,Salad,Salad Bar,20
Coffee Shop,Soda Can,Drinks Fridge,15
Coffee Shop,Apple orBanana,Wooden Product Crate,15
Fruit and Vegetable Store,Apple Banana Carrot Lettuce Pear Tomato,Wooden Product Crate,15
Fruit and Vegetable Store,Salad,Salad Bar,20
Supermarket,Fresh Food,Industrial Fridge,20
Supermarket,Frozen Food,Industrial Freezer (Small),15
Supermarket,Ice Cream,Industrial Freezer (Small),15
Supermarket,Soda Can,Drinks Fridge,15
Supermarket,Bottle of Wine,Wine Shelf,10
Supermarket,CroissantCupcakeDonut,Bakery Showcase,20
Supermarket,Apple Banana Carrot Lettuce Pear Tomato,Wooden Product Crate,15
Florist,Flower (Cheap),Rounded Shelf,15
Florist,Flower (Expensive),Rounded Shelf,15
Florist,Gift (Cheap),Rounded Shelf,15
Florist,Gift (Expensive),Rounded Shelf,15
Florist,Soda Can,Drinks Fridge,15
Hairdresser,Hair Chemical Fee orHair Cutting Fee orHair Styling Fee,Hairdresser Chair,5
Hairdresser,Hair Shampooing & Blowout Fee,Hairdresser Head Wash,10
Hairdresser,Hair Care Product,Hairdresser Shelf,20
Gift Shop,Gift (Cheap),Rounded Shelf,15
Gift Shop,Gift (Expensive),Rounded Shelf,15
Gift Shop,Umbrella,Product Panel,10
Gift Shop,Arty Fish Smartwatch,Display Table (Product),10
Gift Shop,Flower (Cheap),Rounded Shelf,15
Gift Shop,Flower (Expensive),Rounded Shelf,15
Gift Shop,Picture Book,Bookshelf (Small),20
Gift Shop,Rhythm By Tre Headphones,Display Table (Product),10
Gift Shop,Soda Can,Drinks Fridge,20
Gift Shop,ZanaMan Smartwatch,Display Table (Product),10
Book Store,Novel Youth Novel Motivational Book Technical Manual Picture Book Limited Edition Book,Bookshelf (Large),50
Book Store,Gift (Cheap),Rounded Shelf,15
Book Store,Flower (Cheap),Rounded Shelf,15
Book Store,Noize Boss Earbuds,Display Table (Product),10
Liquor Store,Beer,Drinks Shelf,10
Liquor Store,Bottle of Wine,Wine Shelf,10
Liquor Store,Cigar Cigarette,Tobacco Shelf (Large),30
Liquor Store,Whiskey,Drinks Shelf,10
Liquor Store,Margarita,Drinks Shelf,10
Liquor Store,Martini,Drinks Shelf,10
Liquor Store,Soda Can,Drinks Fridge,15
Nightclub,Beer,Cocktail Bar (Beer Shelf),50
Nightclub,Margarita orMartini orWhiskey,Cocktail Bar (Drinks Counter),50
Nightclub,Coat Check Fee,Coat Check,50
Nightclub,Soda Can,Drinks Fridge,15
Jewelry Store,Jewelry (Cheap),Jewelry Floor Showcase,15
Jewelry Store,Jewelry (Expensive),Jewelry Floor Showcase,15
Jewelry Store,Arty Fish Smartwatch,Display Table (Product),10
Jewelry Store,ZanaMan Smartwatch,Display Table (Product),10
Electronics Store,Arty Fish Phone,Display Table (Product),10
Electronics Store,Arty Fish Smartwatch,Display Table (Product),10
Electronics Store,Noize Boss Earbuds,Display Table (Product),10
Electronics Store,Rhythm By Tre Headphones,Display Table (Product),10
Electronics Store,ZanaMan Phone,Display Table (Product),10
Electronics Store,ZanaMan Smartwatch,Display Table (Product),10
Electronics Store,Soda Can,Drinks Fridge,15
Clothing Store,Clothing (Classic Cheap Female)Clothing (Classic Cheap Male)Clothing (Modern Cheap Female)Clothing (Modern Cheap Male),Clothing Rack,10
Clothing Store,Clothing (Classic Expensive Female)Clothing (Classic Expensive Male)Clothing (Modern Expensive Female)Clothing (Modern Expensive Male),Clothing Rack,10
Clothing Store,Jewelry (Cheap),Jewelry Floor Showcase,15
Clothing Store,Jewelry (Expensive),Jewelry Floor Showcase,15
Graphic Designer,Design Service,Office Workstation,1
Headquarters,Management Service,Office Workstation,1
Law Firm,Legal Service,Office Workstation,1
Web Development Agency,Web Service,Office Workstation,1
